datetime,open,high,low,close,vol
2026-05-13 00:00:00+00:00,80459.0,81268.0,80372.0,81222.0,2511.59103
2026-05-13 04:00:00+00:00,81222.0,81254.0,80849.0,80988.0,1497.08532
2026-05-13 08:00:00+00:00,80987.0,81271.0,80433.0,80459.0,3197.93798
2026-05-13 12:00:00+00:00,80459.0,80554.0,78800.0,78801.0,10254.65548
2026-05-13 16:00:00+00:00,78800.0,79780.0,78735.0,79611.0,5944.40276
2026-05-13 20:00:00+00:00,79612.0,79731.0,79191.0,79283.0,2061.54012
2026-05-14 00:00:00+00:00,79283.0,79656.0,78880.0,79000.0,2795.51708
2026-05-14 04:00:00+00:00,79000.0,79959.0,78931.0,79702.0,2465.94813
2026-05-14 08:00:00+00:00,79701.0,79900.0,79176.0,79208.0,3611.72061
2026-05-14 12:00:00+00:00,79207.0,81297.0,79200.0,81264.0,11114.57828
2026-05-14 16:00:00+00:00,81264.0,81992.0,81026.0,81368.0,12652.0413
2026-05-14 20:00:00+00:00,81369.0,81538.0,81015.0,81044.0,3751.17655
2026-05-15 00:00:00+00:00,81044.0,81623.0,80709.0,81015.0,4207.02234
2026-05-15 04:00:00+00:00,81016.0,81064.0,80274.0,80782.0,3754.21709
2026-05-15 08:00:00+00:00,80783.0,80793.0,80319.0,80591.0,2453.45637
2026-05-15 12:00:00+00:00,80590.0,80598.0,78608.0,79118.0,13365.893
2026-05-15 16:00:00+00:00,79119.0,79518.0,79021.0,79100.0,3240.63226
2026-05-15 20:00:00+00:00,79100.0,79174.0,78824.0,79063.0,2615.22513
2026-05-16 00:00:00+00:00,79062.0,79177.0,78955.0,79048.0,1800.29854
2026-05-16 04:00:00+00:00,79048.0,79076.0,78000.0,78331.0,6057.35847
2026-05-16 08:00:00+00:00,78332.0,78487.0,77600.0,78034.0,5607.16092
2026-05-16 12:00:00+00:00,78035.0,78297.0,77795.0,78198.0,3626.91191
2026-05-16 16:00:00+00:00,78198.0,78336.0,78093.0,78226.0,2061.77159
2026-05-16 20:00:00+00:00,78226.0,78265.0,78079.0,78104.0,1085.85718
2026-05-17 00:00:00+00:00,78104.0,78200.0,77676.0,77989.0,3168.86631
2026-05-17 04:00:00+00:00,77988.0,78264.0,77962.0,78138.0,1965.65081
2026-05-17 08:00:00+00:00,78138.0,78562.0,77983.0,78369.0,2418.26871
2026-05-17 12:00:00+00:00,78370.0,78519.0,77796.0,78015.0,2279.54567
2026-05-17 16:00:00+00:00,78015.0,78444.0,77812.0,78381.0,2598.03724
2026-05-17 20:00:00+00:00,78382.0,78450.0,76700.0,77431.0,7338.59154
2026-05-18 00:00:00+00:00,77430.0,77448.0,76667.0,76897.0,5326.23118
2026-05-18 04:00:00+00:00,76896.0,77049.0,76552.0,77039.0,2634.12276
2026-05-18 08:00:00+00:00,77039.0,77374.0,76631.0,77253.0,2643.91588
2026-05-18 12:00:00+00:00,77254.0,77754.0,76037.0,76394.0,10619.50184
2026-05-18 16:00:00+00:00,76393.0,76977.0,76122.0,76882.0,6010.65521
2026-05-18 20:00:00+00:00,76882.0,77213.0,76763.0,76984.0,3827.81211
2026-05-19 00:00:00+00:00,76984.0,77399.0,76443.0,76756.0,3830.90633
2026-05-19 04:00:00+00:00,76757.0,77264.0,76620.0,77199.0,1697.05086
2026-05-19 08:00:00+00:00,77199.0,77291.0,76597.0,76694.0,3330.92647
2026-05-19 12:00:00+00:00,76694.0,77038.0,76125.0,76489.0,5963.6181
2026-05-19 16:00:00+00:00,76490.0,77055.0,76386.0,76792.0,3071.81456
2026-05-19 20:00:00+00:00,76792.0,77017.0,76612.0,76806.0,2026.7145
2026-05-20 00:00:00+00:00,76807.0,76886.0,76490.0,76692.0,2273.25877
2026-05-20 04:00:00+00:00,76693.0,77441.0,76663.0,77248.0,2646.3628
2026-05-20 08:00:00+00:00,77249.0,77636.0,77179.0,77359.0,2133.44317
2026-05-20 12:00:00+00:00,77359.0,77839.0,76851.0,77439.0,10508.44939
2026-05-20 16:00:00+00:00,77439.0,77706.0,77013.0,77646.0,3129.81058
2026-05-20 20:00:00+00:00,77646.0,77768.0,77205.0,77533.0,3923.01347
2026-05-21 00:00:00+00:00,77533.0,78174.0,77500.0,78075.0,4398.55145
2026-05-21 04:00:00+00:00,78074.0,78158.0,77476.0,77853.0,3593.31563
2026-05-21 08:00:00+00:00,77853.0,78157.0,77106.0,77147.0,6240.7782
2026-05-21 12:00:00+00:00,77148.0,77374.0,76700.0,77229.0,5276.05491
2026-05-21 16:00:00+00:00,77230.0,78053.0,76969.0,77667.0,8781.31774
2026-05-21 20:00:00+00:00,77667.0,77787.0,77501.0,77587.0,2050.21882
2026-05-22 00:00:00+00:00,77587.0,77779.0,77290.0,77740.0,2032.6866
2026-05-22 04:00:00+00:00,77739.0,77870.0,77247.0,77363.0,1624.03326
2026-05-22 08:00:00+00:00,77363.0,77507.0,77136.0,77406.0,2365.25954
2026-05-22 12:00:00+00:00,77406.0,77540.0,76517.0,76770.0,6501.59608
2026-05-22 16:00:00+00:00,76770.0,77084.0,75621.0,75823.0,9415.08876
2026-05-22 20:00:00+00:00,75828.0,76051.0,75350.0,75500.0,4725.6876
