bar_index,timestamp_utc,type,price,confirmed_at_bar,is_break,produced_ob
3,2026-05-13T12:00:00+00:00,INITIAL_LOW,2235.8,6,False,False
9,2026-05-14T12:00:00+00:00,INITIAL_HIGH,2297.5,12,False,False
15,2026-05-15T12:00:00+00:00,NEW_LOW,2221.9,18,True,True
18,2026-05-16T00:00:00+00:00,LH,2226.9,21,False,False
20,2026-05-16T08:00:00+00:00,LL,2175.6,23,True,False
28,2026-05-17T16:00:00+00:00,LH,2191.4,31,False,False
32,2026-05-18T08:00:00+00:00,LH,2132.5,35,False,False
33,2026-05-18T12:00:00+00:00,LL,2106.4,36,True,False
37,2026-05-19T04:00:00+00:00,NEW_HIGH,2140.0,40,True,False
39,2026-05-19T12:00:00+00:00,HL,2109.2,42,False,False
48,2026-05-21T00:00:00+00:00,HH,2145.4,51,True,False
50,2026-05-21T08:00:00+00:00,HL,2114.0,53,False,False
52,2026-05-21T16:00:00+00:00,LH,2142.7,55,False,False
